year,title,lb_rating,tmdb_rating,genres,runtime_min,budget,revenue,original_language,production_companies,imdb_id,tmdb_id,original_title,tmdb_popularity,vote_count,release_date,overview,production_countries,status,tagline,profit
2014,Scarlet Innocence,2.73,6.1,"Thriller, Drama, Romance",111,,,ko,CJ Entertainment,tt3958014,287649,마담 뺑덕,8.5035,67,2014-10-02,"A university professor gradually succumbing to blindness is entranced by an obsessive love, in this modern-day adaptation of a classic Korean fairy tale.",South Korea,Released,"Love, lust and obsession.",
2014,Black Butler: Book of Murder,3.79,8.0,"Mystery, Animation, Adventure, Action",116,,,ja,"A-1 Pictures, Aniplex, Square Enix, Asmik Ace, DeNA, RKB Mainichi Broadcasting Corporation, Hakuhodo DY Music & Pictures",tt5714216,511082,黒執事 Book of Murder,5.503,61,2014-10-25,"At the Queen’s request, Ciel and the demon butler Sebastian host an extravagant dinner party for the who’s who of the London underground. But an evening that begins with the promise of unmatched elegance quickly spirals into mayhem when their most distinguished guest is found murdered in his room. Now, trapped in the Phantomhive Manor by a dark and stormy night, Ciel and Sebastian must work together with their high-class guests, including the legendary author Sir Arthur Conan Doyle, to find the murderer in their midst before the blame falls on the host and his somewhat suspicious staff.",Japan,Released,,
2014,Mai-chan's Daily Life,2.63,5.176,Horror,63,,,ja,"Earth Gate, Fetis, Uziga Works",tt5627260,372962,まいちゃんの日常,5.1104,17,2014-11-29,"Miyako starts a live-in maid job and quickly discovers that housecleaning is the least of her duties, as her employers use the maids in their twisted fantasies. Her co-worker Mai-chan, who can miraculously recover from any injury, becomes the focus of horrific, indulgent violence that Miyako is soon drawn into.",Japan,Released,Bloody carnal residence.,
2014,Buddha 2: The Endless Journey,3.33,7.674,"Animation, Drama, History",120,,,ja,Toei Animation,tt2936864,239526,BUDDHA 2 手塚治虫のブッダ -終わりなき旅-,4.8599,46,2014-02-08,"2500 years ago, in India, Siddhartha was born as a prince of the Shakya clan, but he gives up his position as a prince to see the world. He meets a strange boy named Assaji, who can predict the future, a monk with only one eye and Depa. Siddhartha continues traveling. Siddhartha is overwhelmed by the sufferings he witnesses around him. Meanwhile, Prince Ruri of Kosara begins his attack on the Shakya clan.  Second Buddha movie from Tezuka Productions.",Japan,Released,,
2015,Dragon Ball Z: Resurrection 'F',3.01,6.857,"Action, Animation, Science Fiction",93,5000000.0,61768190.0,ja,"Toei Animation, Toei Company, Fox International Productions Japan, Shueisha, Fuji Television Network, Bandai, Bandai Namco Group",tt3819668,303857,ドラゴンボールZ 復活の「F」,8.0348,1987,2015-04-18,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",Japan,Released,"The worst wish in history, that is the beginning of despair.",56768190.0
2015,The Treacherous,2.79,6.1,"Drama, History, Crime",133,,6906250.0,ko,"Lotte Entertainment, Soo Film",tt4844288,338803,간신,6.4931,88,2015-05-21,"The story of Joseon's tyrant king Yeonsan who exploits the populace for his own carnal pleasures, his seemingly loyal retainer who controls him and all court dealings, and a woman who seeks vengeance.",South Korea,Released,"A tyrant king, a treacherous subject, and a woman seeking revenge.",
2015,Murder on D Street,3.54,5.4,Mystery,114,,,ja,,tt4453498,342434,D坂の殺人事件,5.9047,10,2015-02-14,"A soba restaurant owner dies mysteriously on D. Street. The police rule it as a suicide, but detective Akechi Kogoro and his wife Fumiyo think otherwise and launch their own investigation. As they delve deeper, they discover relationships twisted by perverted desire and hideous affection and hatred.",Japan,Released,,
2015,Initial D Legend 2: Racer,3.56,7.848,"Animation, Drama, Action",62,,220527.0,ja,Sanzigen,tt4971484,321487,新劇場版「頭文字D」Legend2 -闘走-,5.7065,79,2015-05-23,"The leader of rival group Myogi NightKids, Takeshi, wants to challenge the now infamous Takumi in a race down Akina. As Takumi questions his identity as a racer, he discovers that, behind the wheel, there’s more to lose than just a simple race.",Japan,Released,,
2015,Attack on Titan II: End of the World,2.11,6.209,"Horror, Science Fiction, Action",87,,15187789.0,ja,"Kodansha, TOHO, Nikkatsu Corporation, dentsu, AMUSE, Horipro, Hakuhodo DY Media Partners, jeki, KDDI, Yomiuri Shimbun Company, Nippan Group Holdings, GYAO, Tokyo FM, The Asahi Shimbun",tt4294052,340382,進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド,5.4102,383,2015-09-01,"Eren Yeager leaves to restore a break in the wall destroyed by a Titan. He comes under attack by the Titans and is cornered. Shikishima comes to his aid. The titans never stops attacking.  Eren is now injured and tries to protect Armin, but is swallowed by a titan. A Titan with black hair appears and begins to expel the other titans.",Japan,Released,The world is merciless.,
2016,Your Name.,4.23,8.479,"Animation, Romance, Drama",106,7500000.0,405320132.0,ja,"CoMix Wave Films, TOHO, KADOKAWA, jeki, AMUSE, voque ting, Lawson Entertainment",tt5311514,372058,君の名は。,18.1957,12291,2016-08-26,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",Japan,Released,"Separated by distance, connected by fate.",397820132.0
