Year,Title,Director,Genres,LB_Rating,TMDb_Popularity
1968,Destroy All Monsters,Ishirō Honda,"Science Fiction, Action",3.27,1.3393
1968,Genesis,Osamu Tezuka,"Comedy, Animation",None,1.4763
1968,Shogun's Joy of Torture,Teruo Ishii,"Horror, Drama",3.27,3.4007
1968,Koroshi,Peter Yates,"Thriller, Action, TV Movie",None,3.0744
1968,Horus: Prince of the Sun,Isao Takahata,"Adventure, Drama, Animation, Fantasy",3.34,1.4796
1969,Battle of the Japan Sea,Seiji Maruyama,"War, History, Drama",None,1.1155
1969,Love and Crime,Teruo Ishii,"Crime, Drama, Horror, Thriller",3.34,3.1456
1969,All Monsters Attack,Ishirō Honda,"Fantasy, Science Fiction, Family",2.14,1.6103
1969,Inferno of Torture,Teruo Ishii,"Drama, Horror",3.17,1.2957
1969,The Wonderful World of Puss 'n Boots,Kimio Yabuki,"Family, Action, Adventure, Comedy, Animation",3.52,1.2728
1970,Gamera vs. Jiger,Noriaki Yuasa,"Action, Adventure, Science Fiction, Family, Fantasy",2.87,0.9822
1970,Dodes'ka-den,Akira Kurosawa,Drama,3.72,1.057
1970,The Vampire Doll,Michio Yamamoto,"Horror, Mystery",3.37,1.7305
1970,Cleopatra: Queen of Sex,Osamu Tezuka,"Animation, Comedy, Science Fiction",3.2,2.0499
1970,Attack No. 1 - Tear Rotation Receive,Eiji Okabe,"Animation, Drama",None,2.9429
1971,"Sex Comedy, Quick on the Trigger",Shin Takakuwa,Comedy,None,3.2654
1971,Good-Bye,Katsu Kanai,Drama,None,2.4495
1971,Godzilla vs. Hedorah,Yoshimitsu Banno,"Science Fiction, Action, Horror",3.5,1.2533
1971,"Throw Away Your Books, Rally in the Streets",Shūji Terayama,Drama,4.17,1.0976
1971,The Battle of Okinawa,Kihachi Okamoto,"War, History",3.56,1.0887
1972,Lone Wolf and Cub: Baby Cart at the River Styx,Kenji Misumi,"Action, Drama, Adventure",4.01,1.6336
1972,Lone Wolf and Cub: Sword of Vengeance,Kenji Misumi,"Drama, Action, Adventure",3.8,1.9719
1972,Godzilla vs. Gigan,Jun Fukuda,"Action, Adventure, Science Fiction",3.02,1.5998
1972,Goodbye CP,Kazuo Hara,Documentary,3.97,3.7542
1972,Young sex: Rankô shori,Shinya Yamamoto,,None,2.6645
1973,Kamen Rider V3: The Movie,Minoru Yamada,"Science Fiction, Action, Adventure",None,4.1429
1973,Dangerous Trade in Kobe,Eiichi Kudō,"Drama, Crime",None,3.8598
1973,The Kingdom,Katsu Kanai,"Action, Thriller",4.08,2.5596
1973,Belladonna of Sadness,Eiichi Yamamoto,"Animation, Drama, Fantasy",3.72,2.0591
1973,Sex and Fury,Norifumi Suzuki,"Action, Crime",3.46,1.7105
1974,Kamen Rider X: The Movie,Issaku Uchida,"Action, Adventure, Science Fiction",None,3.8561
1974,Mazinger Z vs. Doctor Hell,Yugo Serikawa,"Science Fiction, Action, Animation",None,3.617
1974,The Scoundler vs. The Viper Brothers,Sadao Nakajima,"Action, Comedy, Crime",None,2.1181
1974,Yakuza vs. Gang Leader,Kōsaku Yamashita,"Crime, Drama",None,2.1089
1974,Love Is in the Green Wind,Miyoji Ieki,Drama,None,1.8299
1975,True Story of Poisonous Women: Confession of Color,Gen Sasaki,Drama,None,1.3347
1975,The Bullet Train,Junya Satō,"Action, Crime, Drama, Thriller",3.48,1.7862
1975,Lesbian World: Fondling,Chūsei Sone,Drama,None,2.0032
1975,UFO Robot Grendizer Theatrical Version,Tomoharu Katsumata,,None,3.2022
1975,Poruno repōto: Sex shikakenin,Akitaka Kimata,,None,2.3879
1976,In the Realm of the Senses,Nagisa Ōshima,"Drama, Romance",3.63,8.795
1976,Lady Moonflower,Katsuhiko Fujii,Drama,None,4.5309
1976,UFO Robot Grendizer vs. Great Mazinger,Osamu Kasai,"Animation, Action, Adventure, Science Fiction",None,3.85
1976,Oxen Split Torturing,Yuji Makiguchi,"Horror, Drama",3.12,2.9172
1976,Assault!,Yukihiro Sawada,Thriller,2.96,1.9055
1977,House,Nobuhiko Obayashi,"Comedy, Fantasy, Horror",3.99,2.1701
1977,The Story of Big 1: Sadaharu Oh,Yoshishige Yoshida,Documentary,None,2.9855
1977,Eros School: Feels So Good,Koretsugu Kurahara,"Comedy, Drama",None,2.0621
1977,New Female Prisoner Scorpion: Special Cellblock X,Yutaka Kohira,"Thriller, Drama, Crime",None,4.1813
1977,Yoko,Ban Bokuto,,3.01,3.0424
1978,Ubekosei,Hideaki Anno,Animation,None,2.0822
1978,J.A.K.Q. Dengekitai vs. Gorenger,Katsuhiko Taguchi,"Action, Adventure, Science Fiction",None,2.0739
1978,Empire of Passion,Nagisa Ōshima,"Drama, Romance, Horror",3.64,1.2513
1978,Message from Space,Kinji Fukasaku,"Action, Adventure, Science Fiction",2.98,1.1759
1978,Lupin the Third: The Mystery of Mamo,Soji Yoshikawa,"Animation, Adventure, Comedy, Crime, Drama",3.64,3.1833
1979,Sci-Fi West Saga Starzinger,Yugo Serikawa,"Science Fiction, Animation, Adventure",None,4.2305
1979,The Castle of Cagliostro,Hayao Miyazaki,"Animation, Adventure, Comedy, Crime",4.02,3.8819
1979,"Oh, My Son!",Keisuke Kinoshita,Drama,None,1.7749
1979,Star of David: Beauty Hunting,Norifumi Suzuki,"Horror, Thriller",3.35,1.6688
1979,Starzinger: The Nightmare of Energy,Unknown,"Animation, Science Fiction, Fantasy, Family",None,1.6008
1980,Night Office Lady: Thigh-Wrenching,Yoshiaki Horikoshi,,None,1.9523
1980,Tokyo Cabbageman K,Akira Ogata,"Comedy, Fantasy",3.51,1.5275
1980,Doraemon: Nobita's Dinosaur,Hiroshi Fukutomi,"Animation, Adventure, Family, Fantasy, Science Fiction",3.46,1.9929
1980,Distortion: Screw,Jun Fujimori,,None,2.3031
1980,Kagemusha,Akira Kurosawa,"Action, Drama, History, War",4.23,2.0102
1981,Good Luck Love,Yoshisuke Kawasaki,,None,6.2807
1981,Female Teacher in Rope Hell,Shōgorō Nishimura,"Drama, Horror",None,6.2336
1981,My Champion,Gwen Arner,Drama,None,6.1773
1981,Station,Yasuo Furuhata,"Drama, Thriller, Romance",3.61,4.4996
1981,Morning Moon Is Cruel,Masanori Watanabe,Drama,None,2.5042
1982,Dojo Breaker,Masaharu Segawa,"Action, Comedy",None,2.3917
1982,Computer Wars ISAMI,Izo Hashimoto,,None,2.7518
